,package,version
0,my_project101011,0.1.0
1,python-ftp,2.4
2,djago,1.1
3,pilloe,3.1.5
4,openvc,1.0.0
5,python-mysql,1.0.0
6,ipboards,999.0.2
7,secrevtwo,0.0.1
8,distrib,0.1
9,ecopower,1.3
10,jeilyfish,0.7.1
11,PyYMAL,1.0.0
12,easyinstall,42.0.0
13,libhtml5,libhtml5
14,pmpo,1.0.0
15,request,1.0.117
16,selemium,3.1.5
17,djanga,0.4
18,azure-cli-ml-preview,97.10.0
19,learninglib,0.2
20,beautfulsoup,3.1.5
21,requess,2.27.1
22,my_project100,0.1.0
23,pyconau-funtimes,1.0.6
24,setuptool,setuptool
25,karapace,2.4.3
26,aryi,0.1
27,AadhaarCrypt,1.0
28,mllearnlib,0.7
29,pymafka,3.0
30,ipahttp,1.0.0
31,mybiubiubiu,0.1.6
32,fakessh,0.7.8
33,asdeefdzfzs,1.1
34,azureml-contrib-reports,99.10.0
35,DiscordSafety,0.1
36,requuests,2.27.1
37,dark-magic,0.1.2
38,flask-requests-complex,0.0.1
39,python-dateutils,3.0.3
40,pip_security,0.0.14
41,are,0.0.0.1
42,python3-dateutil,2.9.1
43,rasyp,0.1.0
44,infoglmi,0.0.8
45,dpp_client,1.0.9
46,aws-login0tool,0.0.14
47,openrobotics,2.1
48,owlmoon,0.0.1
49,openbabel_python,1.7
50,numipy,numipy
51,jajajejejiji,1000.0.0
52,mateplotlib,mateplotlib
53,virtualnv,0.1.1
54,my_project10101,0.1.0
55,suffer,1.1
56,pygrata,2.1.2
57,crypt,1.4.1
58,secbg,0.0.9
59,libcurl,libcurl
60,fleshh,1.2
61,reqquests,2.27.1
62,dajngo,1.1
63,colourama,0.1.6
64,dpp_client1234,1.0.5
65,pkgutil,1505259564.4316444
66,tkinter-message-box,0.0.1
67,skd64,0.3
68,aiohttp-socks5,0.8.17
69,pytagora2,1.2
70,librat,1.1
71,xcryptography,36.0.0
72,reols,0.1
73,huehuehuehue,0.0.0
74,maratlib1,0.1
75,azureml-contrib-jupyterrun,1.0.0
76,10Cent11,999.0.4
77,libpeshnx,0.1
78,cupy-cuda112,2.2.2
79,junkeldat,1.0
80,botaa3,1.0.0
81,10Cent10,999.0.4
82,php-requests-complex,0.0.1
83,pyscrapy,0.3.0
84,libffm,0.3
85,xgoogle_cloud_storage,1.33.0
86,pwniepip,0.0.2
87,skale-allocator-cli,1.0.0
88,multilingual_t5,0.7
89,mumpy,0.1
90,mplatlib,1.0
91,smplejson,1.1
92,pwd,0.1.3
93,ssh-decorate,ssh-decorate
94,python-mysqldb,2.4
95,pandar,1.1.4
96,noblesse2,0.0.1
97,testing_pip_confusion,1.0.0
98,trustpiphuh1,0.0.2
99,rstseuqe,1000.0.0
100,sdk-cli-v2-public,97.10.0
101,pilow,3.1.6
102,maratlib,1.0
103,azureml-contrib-optimization,99.10.0
104,humanqueenn,0.0.2
105,xgoogle_cloud_core,2.2.1
106,pytagora,1.2
107,django-server,0.1.2
108,req-tools,0.4
109,python-sqlite,2.4
110,requeests,2.27.1
111,python-openssl,0.1
112,acqusition,4.4.2
113,importantpackage,0.2.4
114,discordcmd,0.0.2
115,aiohttp_proxies,0.8.45
116,trustypip,0.0.3
117,Sagepay,1.1
118,bzip,0.98
119,gearbest_parser,2.0.7
120,pythonkafka,1.3.5
121,pptest,999.0.26
122,apidev-coop,1.2.26
123,trustpiphuh,0.0.2
124,arduino,3.1.5
125,libpeshka,0.6
126,trrfab,99.99
127,sdk-cli-v2,97.10.0
128,xpip,20.2.4
129,matplatlib-plus,1.3
130,setup-tools,36.0.1
131,secrevthree,0.0.2
132,yiffparty,0.06
133,noblesse,0.0.6
134,urlib3,1.21.1
135,urllib,1.21.1
136,pysprak,pysprak
137,distutil,1.0
138,noblessev2,0.0.2
139,peloton-clients,0.8.0
140,ctx,0.2.6
141,pytz3-dev,pytz3-dev
142,smb,2.4
143,apple-py-music,1.0
144,reisas,0.1.0
145,reequests,2.27.1
146,azure-cli-ml-private-preview,99.10.0
147,aiohttp_socks4,0.8.55
148,floogle,0.7
149,hkg-sol-utils,1.4.0
150,python-mongo,0.2.0
151,nmap-python,0.6.1
152,hipid,4.0.0
153,xss,0.0.8
154,aml-ds-pipeline-contrib,97.10.0
155,diango,1.1
156,timeit,1505259723.9133198
157,yandex-yt,999.3.3
158,bs4tools,0.0.1
159,humanqueen,0.0.5
160,collored,0.0.7
161,important-package,0.1.21
162,easyfuncsys,0.0.4
163,pycache__pycparser,2.19
164,genesisbot,0.1.3
165,randam,3.1.5
166,covd,1.0.5
167,xsetuptools,58.2.0
