,package,version
0,absl-py,1.2.0
1,accelerate,0.11.0
2,acme,1.29.0
3,adafruit-blinka,8.2.0
4,adafruit-circuitpython-busdevice,5.2.0
5,adal,1.2.7
6,addict,2.4.0
7,aenum,3.1.11
8,agate,1.6.3
9,aggdraw,1.3.15
10,aio-pika,8.1.1
11,aioboto3,9.6.0
12,aiobotocore,2.3.4
13,aiodns,3.0.0
14,aiofiles,0.8.0
15,aiohttp,4.0.0a1
16,aioitertools,0.10.0b1
17,aiomysql,0.1.1
18,aioredis,2.0.1
19,aiosignal,1.2.0a0
20,aiosqlite,0.17.0
21,alabaster,0.7.12
22,albumentations,albumentations-1.2.1
23,alembic,1.8.1
24,alibabacloud-endpoint-util,0.0.3
25,alibabacloud-endpoint-util-py2,0.0.2
26,alibabacloud-openapi-util,0.1.6
27,alibabacloud-tea-openapi,0.3.4
28,alibabacloud-tea-openapi-py2,0.1.3
29,alibabacloud-tea-util,0.3.6
30,alibabacloud-tea-util-py2,0.0.6
31,aliyun-python-sdk-core,2.13.36
32,altair,4.2.0rc1
33,amqp,5.1.1
34,aniso8601,9.0.1
35,anndata,0.8.0rc1
36,ansible,6.1.0
37,ansible-core,2.13.2rc1
38,ansicolors,1.1.8
39,antlr4-python3-runtime,4.10
40,anyio,3.6.1
41,anytree,2.8.0
42,apache-airflow,2.3.3rc3
43,apache-airflow-providers-amazon,4.1.0rc1
44,apache-airflow-providers-cncf-kubernetes,4.2.0rc1
45,apache-airflow-providers-http,4.0.0rc1
46,apache-airflow-providers-mysql,3.1.0rc1
47,apache-airflow-providers-postgres,5.1.0rc1
48,apache-beam,2.40.0rc2
49,apispec,5.2.2
50,appdirs,1.4.4
51,applicationinsights,0.11.10
52,appnope,0.1.3
53,apscheduler,3.9.1
54,argcomplete,2.0.0
55,argh,0.26.2
56,argon2-cffi,21.3.0
57,argon2-cffi-bindings,21.2.0
58,argparse,1.4.0
59,arrow,1.2.2
60,asciimatics,1.14.0
61,ase,3.22.1
62,asgiref,3.5.2
63,asn1crypto,1.5.1
64,astor,0.8.1
65,astroid,2.12.2
66,astropy,5.2.dev0
67,astroquery,0.4.7.dev7946
68,asttokens,2.0.5
69,astunparse,1.6.3
70,async-generator,1.10
71,async-lru,1.0.3
72,async-timeout,4.0.2
73,asyncio,3.4.3
74,asyncpg,0.26.0
75,asyncssh,2.11.0
76,asynctest,0.13.0
77,async_generator,1.10
78,atomicwrites,1.4.1
79,attrdict,2.0.1
80,attrs,22.1.0
81,authlib,1.0.1
82,autobahn,22.6.1
83,autoflake,1.4
84,autograd,1.4
85,automat,20.2.0
86,autopage,0.5.1
87,autopep8,1.6.0
88,avro,1.11.1
89,avro-gen,0.3.0
90,avro-python3,1.10.2
91,aws-cdk-lib,2.34.2
92,aws-cdk.aws-ec2,1.166.1
93,aws-cdk.aws-events,1.166.1
94,aws-cdk.aws-iam,1.166.1
95,aws-cdk.aws-kms,1.166.1
96,aws-cdk.aws-lambda,1.166.1
97,aws-cdk.aws-logs,1.166.1
98,aws-cdk.aws-s3,1.166.1
99,aws-cdk.cdk,0.36.1
100,aws-cdk.core,1.166.1
101,aws-sam-translator,1.48.0
102,aws-xray-sdk,2.10.0
103,awscli,1.25.42
104,awswrangler,3.0.0a1
105,azure-batch,12.0.0
106,azure-cli-command-modules-nspkg,2.0.3
107,azure-cli-core,2.38.0
108,azure-cli-nspkg,3.0.4
109,azure-cli-telemetry,1.0.6
110,azure-common,1.1.28
111,azure-core,1.24.2
112,azure-cosmos,4.3.0b4
113,azure-cosmosdb-nspkg,2.0.2
114,azure-cosmosdb-table,1.0.6
115,azure-data-tables,12.4.0
116,azure-datalake-store,0.0.52
117,azure-devops,6.0.0b4
118,azure-eventgrid,4.9.0b1
119,azure-eventhub,5.10.0
120,azure-graphrbac,0.61.1
121,azure-identity,1.11.0b2
122,azure-keyvault,4.2.0
123,azure-keyvault-certificates,4.5.0b1
124,azure-keyvault-keys,4.6.0b1
125,azure-keyvault-secrets,4.5.0b1
126,azure-kusto-data,3.1.3
127,azure-kusto-ingest,3.1.3
128,azure-loganalytics,0.1.1
129,azure-mgmt-advisor,9.0.0b1
130,azure-mgmt-applicationinsights,3.1.0
131,azure-mgmt-authorization,2.0.0
132,azure-mgmt-batch,16.2.0
133,azure-mgmt-batchai,7.0.0b1
134,azure-mgmt-billing,6.0.0b1
135,azure-mgmt-cdn,12.0.0
136,azure-mgmt-cognitiveservices,13.2.0
137,azure-mgmt-compute,27.2.0
138,azure-mgmt-consumption,10.0.0
139,azure-mgmt-containerinstance,9.2.0
140,azure-mgmt-containerregistry,10.0.0
141,azure-mgmt-containerservice,20.2.0
142,azure-mgmt-core,1.3.1
143,azure-mgmt-cosmosdb,7.0.0b6
