,package,version
0,650-auto-comp-jaewon,0.4
1,a38-decimal,0.1.6
2,aaafootball,0.0.0
3,abcfinance,0.1.1
4,accioapi,1.2.8
5,ada-core,0.3.20
6,adafruit-circuitpython-as7341,1.2.8
7,adafruit-circuitpython-tmp006,2.1.11
8,adafruit-circuitpython-tsc2007,1.0.2
9,adc-streaming,2.0.0
10,adderlib,1.0.3
11,advanced-scorecard-builder,1.0.2
12,aet-consumer,3.12.0
13,aggregation-builder,0.0.4
14,ahtest-distributions,0.3
15,aicovidvn-2021,0.0.1
16,aicssegmentation,0.5.2
17,aio-auth-with,0.0.4
18,aio-net-events,3.0.0
19,aiosignalrcore,0.9.2.2
20,aioyoyo,1.2.2
21,airflow-ray-executor,0.0.1
22,airpyllution,2.0.1
23,aixm-arm,0.3.2.8
24,algen,1.0.3
25,alibabacloud-ding-util,0.0.2
26,alibabacloud-fnf20190315,1.0.0
27,alibabacloud-foasconsole20190601-py2,1.0.0
28,alibabacloud-uis20180821,1.0.0
29,alou-example1,0.0.2
30,ambition-screening,0.1.40
31,analyticslab,0.1.0
32,anomalib,0.3.4
33,anomalydetection,0.0.0.dev1
34,ansible-role-manager,0.4
35,anybox-testing-datetime,0.5
36,anyks-sc,1.2.4
37,api-reflector,0.5.10
38,append-hygiene-sdk,0.2.1
39,appomatic,0.0.32
40,approxinterpol,0.0.3
41,argminer,0.1.0
42,arl,1.0.1
43,arm-backend-cpplib,1.0.4
44,arris-tg3442-reboot,0.7
45,ashser-athletelist,1.0.0
46,assault,1.0.0
47,assetic-esri,1.2.1.0
48,async-http2,0.1.1
49,async-keepalive-httpc,0.15
50,asyncio-atexit,1.0.1
51,atarashi,0.0.11
52,atoma,0.0.17
53,augmented-startups-one,0.6.2
54,auto-reporter,0.2.0
55,automagica2,0.0.1
56,autopep8,1.6.0
57,awesome-slugify,1.6.5
58,aws-cdk-aws-codepipeline,1.166.1
59,aws-solutions-constructs-aws-sns-lambda,2.12.0
60,azhurbfunniest,0.1
61,aztfgen,0.1.3
62,azure-cli-sqlvirtualmachine,0.1.0
63,azure-mgmt-logic,10.0.0
64,baidupushwrapper,0.0.0.2.pre
65,ballet-assemble,0.8.8
66,baseutils-phornee,0.0.17
67,basicsorts,1.0
68,batchcompute,2.1.7
69,bayesfit-ap,0.1.1
70,bci-lib,0.0.9
71,bdranalytics,0.3
72,bdw,0.5.0
73,bettergitcli,1.3.0
74,bigmpi4py,1.2.4
75,bignmf,1.0.5
76,bigquery-erd,0.1.1
77,binary-tools,0.2.0
78,binom-probability,1.3
79,bio-genome,0.1
80,biosamples-v4,0.0.5
81,bkmrkbldr,0.0.1
82,blackpay,1.0
83,blatann,0.4.0
84,bleak-sigspec,0.0.4
85,blobxfer,1.11.0
86,bmcds,0.1.2
87,bob-db-scface,2.1.11
88,bokehheat,0.0.6
89,boxrec,0.1
90,brazil-types,0.0.3
91,brothon,0.2.5
92,brreg,1.0.0a1
93,bugzilla-data,0.0.5
94,bup,0.0.1
95,businessready,0.9.151
96,cabot-alert-ovh,1.0.0b1
97,camcalib-jpvolt,0.1.0
98,canrevan,4.0.0
99,catilo,0.2.6
100,catkin-tools,0.9.0
101,catminer,1.5
102,cbseg,1.0.0
103,ccs-digitalmarketplace-content-loader,9.1.0
104,cdapsutil,0.2.0a1
105,cdk-metaflow,0.0.20
106,cdsapi,0.5.1
107,censored-regression,0.0.1
108,ceremony,0.1.0
109,cervello-flink,1.1
110,cf,0.41.0
111,cfedemands,0.4.1
112,ch-json-logger,1.1.4
113,ch55xtool,1.0.2
114,chaanbot,2.1.0
115,chalice-veneer,0.0.26
116,chatpackage,1.1
117,checkgit,0.1
118,chem-tom-first-package-here-now,0.0.1
119,chemical-kinetics,1.0.5
120,chengfa,1.0.1
121,chillaxd,0.1a2
122,chinese-stroke-sorting,0.3.1
123,cisco-deviot,0.1.2
124,cistern,0.1.5
125,citypay-api-client,1.0.5
126,ckanext-pdfview,0.0.6
127,clangtooling,0.0.7
128,clefairy,0.105
129,click-extra,2.1.3
130,cligraphy,0.1.1
131,clipboard-modifier,0.2.1
132,closedexpressions,0.1.2
133,cloudmersive-configuration-api-client,3.0.1
134,cloudshell-tg-teravm-vblade,1.0.1
135,codev-dashboard,0.1.2a1
136,colcon-bundle,0.1.3
137,collective-atimage-transformmenu,1.2.2
138,collective-memberapproval,1.0a1
139,collective-ptg-flickr,0.1.1
140,coma,1.0.1
141,comparerr,0.2.0
142,compecon,2022.5.13
143,confdir,0.1.0
144,converterjbundy,0.1
145,convey,1.3.15
146,convnetional-ticket,1.1.0
147,coop,3.0.0
148,cooperative,0.1.12
149,copydetect,0.4.2
150,coredocs,0.0.6
151,cores-ft,0.2
152,couchql,0.1
153,cowbathybrid,0.1.1
154,cp-tool,2.1.2
155,cppy,1.2.1
156,cprofile-graph,2.0.4
157,craft,0.2.6
158,crawler-test,0.1.1
159,cron-wrap,0.6.3
160,crosscompute-integer,0.7.3
161,crslab,0.1.2.0
162,crubn-python3-indy,1.16.0
163,crude-dev,0.1.2
164,cryptiles,0.1
165,crypto-mediator,0.2.0
166,csv2jsonl,0.1.1
167,csvtodict,0.1
168,cthreepo,0.1.2
169,dappmx,0.8
170,data-gc-ca-api,1.0.0
171,data-product-cookbook-crawler,0.0.1
172,databrowse,0.8.4
173,datanectar,0.1.6
174,datapackage-pipelines-sourcespec-registry,0.0.9
175,datapusher,0.0.17
176,dataverk-gsm,0.0.2
177,days-until,0.0.2
178,db-cache,0.1.2
179,dbconnectionlib,0.1.0
180,dbmisvc-stack,1.0.1
181,dcms-sdk,0.0.3
182,deepcave,1.0
183,deepdrr,1.1.0a4
184,detext-nodep,3.2.0
185,df-config,0.10.2
186,dhcpain,1.0.0
187,diaryapps,1.2.7
188,dictcc,0.1
189,dingtalklogintool,0.0.4
190,dir2opus,0.12.0
191,discapty,2.0.2
192,discrete-fuzzy-operators,1.13.1
193,distbinogaus,0.1
194,distributions-tmc,0.2
195,distributionsbvh,0.1
196,divisor-g2,1.0.0
197,diwnotifier,0.9.2
198,django-appdata,0.3.2
199,django-auth-exchange,0.1.2
200,django-auth-ldap-custom,2.4.1
201,django-base-hashtag-learning,0.1.3
202,django-cadence,0.2.0
203,django-compositekey,1.5.0
204,django-data-validation,0.0.1
205,django-fieldlevel-permissions,0.1
206,django-flickr,0.3.5
207,django-foobar,1.0
208,django-import-export-xml,0.1
209,django-markup-mixin,0.1.0
210,django-migration-control,0.1.2
211,django-nav-menu,0.1.6
212,django-nextpage,1.0.2
213,django-ok-17track,0.0.4
214,django-omnibus,0.2.0
215,django-paynova,0.1.6
216,django-pipeline-compass,0.1.5
217,django-query-debugger,0.0.4
218,django-quizblock-random,0.2.0
219,django-record,0.2.5
220,django-restroom,0.0.2
221,django-reverse-js,0.1.3
222,django-session-csrf,0.7.1
223,django-szuprefix,0.11.7
224,django-tpq,1.9
225,django-triflesoft-localization,0.7.1702191535
226,django-unlimited-char,0.0.1b2
227,django-walletpass,1.2
228,djangoproj,0.3
229,djvsyepitb,1.1
230,dndclib,0.18
231,docker-py-paetling,1.3.0
232,docsix,0.1
233,dorset,0.4.0
234,dossier-store,0.5.1.dev6
235,doubao-example-package-your-username-here-1,0.0.3
236,drf-ns,0.0.3
237,dsnd-prob-basic,0.1
238,dsnd-probability-cris,0.1
239,dsnd-probability-gs,1.2
240,dspingest,1.1.2
241,dt-cli,1.6.5
242,dtool-lookup-server-notification-plugin,0.2.2
243,dtsb,0.2
244,dxl-pygate,0.13.2
245,dynafed-storagestats,1.0.40
246,easygraphql,0.0.3b0
247,easyshop-carts,0.1a1
248,eba-toolkit,0.0
249,ec2instances-info,0.0.2
250,echidna2022,0.0.1
251,edkit-server,0.3.1
252,edx-i18n-tools,0.9.1
253,eeapp,0.0.62
254,eee,0.0.3
255,elephantsql-cli,0.0.2
256,elexondataportal,2.0.15
257,elib,2018.11.22.1
258,emacsipython,0.1.0
259,embedded-jubatus,1.1.1.post2
260,embedding-evaluator,0.0.1
261,emflow,0.0.4
262,emgfit,0.4.1
263,emoji2text,0.1.7
264,empirical-distribution,0.0.1
265,ensemblebench,0.0.0.1
266,epimodels,0.3.21
267,era,1.1
268,ereuse-rate,0.0.2
269,escpos-gen,0.0.2
270,esiosdata,0.6.10
271,etta,0.1.1
272,eva,0.1.1
273,example-pkg,0.0.7
274,example-pkg-alejandro050995,0.0.1
275,exchanzd,0.1.2
276,executiontime,0.3.1
277,exegol,4.0.3
278,exp-jangddol,1.1.20
279,expansion-raj-csh,1.0.2.2
280,expose-localhost,0.4.2
281,extension,1.0.0
282,ezbamqc,0.6.7
283,ezhc,0.7.9
284,faastapi,0.3.4
285,fabricasdk,0.2.0
286,fake-user-agent,2.1.2
287,fakr,0.1.1
288,fast-upfirdn,0.5
289,fastrl2,2.0.19
290,fescache,1.0.0b6
291,fica,0.2.0
292,fiddup,3.0.0
293,figgler,1.1.4
294,figular,0.0.4
295,filehandler,1.0.14
296,fisk,0.8.2
297,fitter-python,0.1.0
298,flask-administration,0.1.42
299,flask-app-generator,0.1.0
300,flask-azure-oauth-theblog-cs2022,0.6.2
301,flask-blitzdb,0.1
302,flask-rest4,0.3.2
303,flask-slack-events,0.0.2
304,flask-ssdb,0.0.1
305,flask-webpack-loader,0.0.4
306,flatpak-module-tools,0.13.1
307,flattenlist,0.1.4
308,flatter,0.0.3
309,foliant,1.0.13
310,for,0.0.0.0.0.0a0.dev20210120
311,formfiller,0.3
312,framed-title,0.0.3
313,freeswitch-esl-python,1.2
314,frmodel,0.1.10
315,fs2,0.1
316,fsorg,1.0.4
317,ftw-shop,3.0.4
318,fungui,0.1.2
319,fuo-kuwo,0.1.6
320,furkan-baskaya-453-hw1,2.0.1
321,fusepy,3.0.1
322,fuzzup,0.4.9
323,g5mouse,0.1
324,gabiscal,0.0.1
325,galaxy-objectstore,21.9.0
326,game-of-life,0.1.1
327,gaql-builder,1.0.2
328,gausebidistributions,0.1
329,gc-itva-core,0.0.1
330,gengli,0.1.0
331,genpurp,0.0.2
332,ggseg,0.1a4
333,gh-webhook,0.2
334,gibberish,0.4.0
335,giftwrap,1.5.9
336,git-stalk,1.6.0
337,gitdump,1.0.2
338,github-email,0.0.5
339,gocept-imapapi,0.5
340,gql-query-builder,0.1.7
341,graybit-sync,1.0.0
342,great-ape-safe,0.0.1
343,grizzly-sql,0.1.5.post1
344,grpc-django,1.0.0
345,gsfpy,2.0.0
346,hauliopylib,0.23
347,hazpy,0.0.4
348,hbase-thrift-py-sdk,2.3.6
349,hbookerapi,0.1
350,healthcareai,1.0
351,healthgraph-api,0.3.0
352,heif-image-plugin,0.5.1
353,helga-jeopardy,0.3.15
354,hgh-headfirst-test,1.1.0
355,hhsh,0.1.1
356,hide-warnings,0.17
357,hitchtest,0.9.12
358,hkw,1.2.4
359,hmbasr,0.0.18
360,hopeit-apps-visualizer,0.16.4
361,hopsfacets,0.0.4
362,horizon-api-mask,0.0.1.post2
363,horizon-sensu-dashboard,0.0.6
364,hs,3.0.3
365,html-cleaner,0.4.dev0
366,htmresearch-core,0.0.3
367,https-roi-ciphertext,0.0.4
368,hublot,1.2.1
369,hydrofunctions,0.2.3
370,hyperant,2.7
371,hyperbolicmds,0.1.10
372,hypereditor,0.1.0rc3
373,ibalert,0.1.6
374,icespringpathlib,1.1.1
375,idiffuse,0.0.1
376,idiomxy,0.0.2
377,idlite,0.0.11
378,iloveruby-zh,2020.9.21.0
379,im-fragalysis,1.2.5
380,im2pdf,0.1.1
381,image-array-and-histogram,1.0.1
382,instaspam2,1.3
383,instresp,0.1.1
384,invenio-config-tugraz,0.9.1
385,invisibleroads,0.3.4
386,invokebilizer,0.1.1
387,iotile-transport-awsiot,1.1.0
388,ipackage,0.1.0
389,isotoma-plone-defang,1.0.3
390,ivozzo-pyboilerplate,1.0.0
391,jarjar,3.1
392,jaychou,0.1
393,jetorm,0.4.9
394,jinja-gen,1.6.0
395,jondevmedisx,0.0.1
396,jpworkdays,0.2.0
397,jsaone,0.2
398,jsbuild,1.0
399,jsconsole,1.0.2
400,json-to-module,0.0.2
401,jsonpatch,1.32
402,jsontyping,1.0.3
403,jupyter-cadquery,3.1.0rc4
404,jupyter-latex-envs,1.4.6
405,jupyter-linter,0.0.1
406,jupyter-omnicm,0.0.5
407,jupyter2clipboard,0.2.1
408,jupyterlab-codex,0.1.1
409,juujian,0.0.9
410,jy,0.0.2
411,jylab,0.0.3
412,kafka-rest-client,0.8.0
413,kaiba,1.0.0
414,keas-pbpersist,0.1
415,kenpdf2txt,1.0
416,keycdn,0.4.3
417,kiara-modules-language-processing,0.3.0
418,kincluster,0.2.0
419,kisee,21.9.0
420,kv-01-dist,0.1
421,kw-automation-utils,0.0.0
422,kwset,0.0.1
423,kyoushi-simulation,0.3.10
424,labby,0.2.0
425,labelmeutils,0.0.17
426,lambda-local,1.0.0
427,lanelet2-parser,0.1.7
428,languageidentipackage,0.0.2
429,lanms,1.0.2
430,launchpad-rgb,1.0.0
431,lazr-lifecycle,1.2.1
432,lazy-git,0.2
433,lazystats,0.0.3
434,lbry-internet-archive,0.2
435,lcba,0.2.6
436,lcp-libpythonpro,0.2
437,lcy123,1.3.0
438,lda-final-mz136,1.5
439,legibilidad,0.21
440,leox,0.4.0
441,lesion-metrics,0.1.12
442,lft,0.1.1
443,lgl-getpubmed,3.0
444,libafl,0.0.2
445,libsemsim,0.1.0
446,linguistica,5.2.1
447,lirpc,0.1.2
448,listcrypt,0.2.5
449,liveline,1.1
450,lkd,2
451,logger-pro,2.0.1
452,ltp-eval,0.3
453,lupoclient,0.0.1
454,lyricaly,1.0.5
455,macos-releases,1.0
456,magen-utils,1.2a3
457,magiconf,0.1.3
458,magicword,1.0
459,mako-pipeline,0.0.1
460,mando,0.7.1
461,manga-ocr,0.1.7
462,manifest-generator,1.0.0
463,maninex,0.4
464,mariadbabclog,1.1.0
465,mask-recognition,0.0.1
466,mathics-pygments,1.0.2
467,maxpat,1.0
468,mbq-metrics,1.1.7
469,mbx,1
470,medialog-tinymceplugins-placegallery,0.0.2alpha
471,meeting-availability,1.0.4
472,megaparsy,0.1.4
473,memorize-wizard,0.1.1
474,mentalpoker,0.5.0
475,mergedict,1.0.0
476,mess-server-leget,0.0.1
477,metann,0.2.10
478,metasub-utils-bridges,0.2.0
479,metaviz,0.0.7
480,meteor-reasoner,1.0.7
481,mg2dsn,0.5
482,mike-probability,0.1.93
483,mincepy,0.16.2
484,mingzipdf,1.0
485,minimal-py-setup,0.1.dev4.g5d9c0b8
486,mir-eval,0.7
487,mitre-attack,0.1.0
488,mkdocs-izsam-search,0.1.8
489,mkv,0.1.5
490,mlang,0.1.15
491,mllego,0.32
492,mobydoc,0.0.28
493,mockpy,0.1.7
494,monasca-analytics,0.0.1
495,monk-keras-cuda101-test,0.0.1
496,monkeyplug,1.0.1
497,mopidy-mfe,0.4.9
498,move,0.1.3
499,movies-hm,1.0.0
500,moz-addon-packager,1.0.1
501,mpypl,0.0.3.8
502,mr-developer,2.0.1
503,mr-s3,1.0.0b3
504,mredis,0.2
505,mroylib-min,2.2.5
506,mslib,0.1.2
507,msmcauthaio,0.1
508,mtcli,0.14
509,multirelay,0.0.1
510,mungo,0.8.1
511,muzzle,0.0.1
512,my-py-mess-server,0.0.2
513,mypy-boto3-personalize-events,1.24.36.post1
514,myweather-reporter,1.0.1
515,nailpack-flask,0.1.0
516,nanodlna,0.3.0
517,natmlx,0.0.5
518,nattanan-helloworld-library,2.0
519,naturalneighbor,0.2.1
520,nbtester,0.4.8
521,ndview,0.0.5
522,neaky,1.0.0
523,neo-python,0.9.1
524,neorpc-python-rpc,0.1.6
525,nestedfacts,1.0.1
526,network-docopt,0.1.10
527,nicecache,0.0.1
528,niharpdf,1.0
529,nmtf,1.0.83
530,noa,0.1.0
531,nodepool,6.1.0
532,nordic-alttp,0.1.1
533,nose-launchable,0.4.2
534,noteql,0.7.1
535,nr-stream,0.2.3
536,nre-darwin-py,0.4.0
537,numericalpoissongeometry,1.1.1
538,numletterfinglish,0.0.1
539,numpyxtns,20.4.1
540,nx100-remote-control,1.0.3
541,oaas,1.8.0
542,obal,0.10.0
543,odoo10-addon-account-payment-show-invoice,10.0.1.1.0.99.dev3
544,odoo10-addon-base-location-geonames-import,10.0.1.1.1.99.dev5
545,odoo10-addon-sale-commission-areamanager,10.0.1.1.0.99.dev4
546,odoo11-addon-account-invoice-supplier-self-invoice,11.0.2.0.1
547,odoo11-addon-partner-multi-relation-tabs,11.0.1.0.0.99.dev6
548,odoo11-addon-website-form-metadata,11.0.1.0.0.99.dev12
549,odoo12-addon-crm-lead-currency,12.0.1.0.0.99.dev3
550,odoo12-addon-delivery-multi-destination,12.0.1.1.0.99.dev2
551,odoo12-addon-geoengine-base-geolocalize,12.0.1.0.0.99.dev3
552,odoo12-addon-l10n-br-account-payment-brcobranca,12.0.4.1.0
553,odoo12-addon-l10n-it-website-portal-fatturapa,12.0.1.3.0.99.dev1
554,odoo12-addon-partner-phonecall-schedule,12.0.1.0.0.99.dev7
555,odoo13-addon-l10n-nl-location-nuts,13.0.1.0.1.dev4
556,odoo13-addon-pos-event-sale,13.0.1.0.1.dev5
557,odoo13-addon-sale-order-line-description,13.0.1.0.1.dev4
558,odoo13-addon-stock-picking-backorder-strategy,13.0.1.0.2.dev1
559,odoo14-addon-base-changeset,14.0.1.1.1.dev14
560,odoo14-addon-l10n-ch-base-bank,14.0.1.0.2
561,odoo14-addon-l10n-th-sequence-qoy,14.0.1.0.2.dev1
562,odoo14-addon-queue-job-subscribe,14.0.1.0.1.dev3
563,odoo8-addon-account-bank-statement-import-mt940-base,8.0.1.1.2.99.dev2
564,odoo8-addon-crm-sale-marketing,8.0.2.0.0.99.dev4
565,odoo8-addon-web-ir-actions-act-window-message,8.0.1.0.0.99.dev19
566,oneneuron-pypi-suresh-singamsetty,0.0.1
567,onnx2torch,1.4.1
568,oolong,0.1
569,oops-timeline,0.0.3
570,open3d-plus,0.1.0
571,opencovis-contrib-python,4.5.1.84
572,orionx,0.0.2
573,oslo-windows,0.0.1
574,osr2mp4app,0.0.6a1
575,osustreams,1.1.1
576,otest-cli,0.4
577,outlier-101703003-aaditya-chopra,1.0
578,outremove-manav1811kumar,0.0.5
579,oy-client,0.1.4.1
580,p2p0mq,0.1.0
581,package-ml,0.1.0
582,package-version,1.0.5
583,pactman,2.30.0
584,page-rank-engine,0.2.0
585,pageone,0.2.2
586,pait,0.7.8.3
587,palladium,1.2.4.1
588,pandas-msgpack,0.1.4
589,pandemuerto,0.0.1
590,parse-stuff,0.1.1
591,patroni-notifier,0.0.4
592,pcregression,0.1.1
593,pdlog,0.1.0.post0
594,peaksvalleys,1.2.2
595,pedalboard,0.5.8
596,pelote,0.5.0
597,persuader-technology-automata-fee-conductor-binance,0.1.0
598,petepdf,1.0
599,petlx,1.0.3
600,pgcaw,1.0.1
601,phamclust,0.1.2
602,philsol,0.25
603,photoage,0.1.1
604,phrase-api,1.5.0
605,pihex,0.2.1
606,pin-and-string,0.0.1
607,pinyinflix,1.1.0
608,pipelinewise-target-redshift,1.6.0
609,pipenode,0.381
610,pipm,22.2.3
611,pk-common,0.1
612,plakativ,0.5.1
613,plantuml-markdown,3.6.3
614,plone-app-workflowmanager-overhaul,1.2a1
615,plone-rest,2.0.0a5
616,pmapv,0.1
617,point-transformer-pytorch,0.1.5
618,politico-civic-biography,0.2.2
619,popart,0.1.1
620,portfolio-test,0.0.1
621,powercmd,0.3.6
622,pp6generator,0.1.2
623,praxxis,0.1.1
624,preposterous,0.0.2
625,preql,0.2.17
626,prestige,0.0.1
627,pretix-net-mail,1.1.0
628,pricer,0.5.5
629,primme,3.2.1
630,prob-dists,0.1
631,procconveyor,0.0.3
632,products-zope-hotfix-cve-2011-3587,1.0
633,proselint,0.13.0
634,protmapper,0.0.27
635,prototorch-models,1.0.0a5
636,pub-tools,4.0
637,pugixmltodict,0.5
638,puploadr,0.2
639,pure25519,0.0.1
640,purepyvmware,1.0.0
641,pvlv-interactions,0.0.5
642,pwh-permissions,1.3.0
643,py-app-conf,1.3.0a10
644,py-aws-utilities,0.0.3
645,py-macaw,0.1.0
646,py-solace-provision,0.2.9
647,py-vision,0.1.6
648,pyassemble,1.0.0
649,pyatoa,0.1.0
650,pyawx-client,0.2.0
651,pybabel-hbs,0.2.2
652,pyboolet,1.0.1
653,pycaster,0.1.1
654,pycaustic,0.0.36
655,pyccoma,0.5.2
656,pychanter,0.0.1
657,pycnc,1.1.0
658,pycodeexport,0.1.3
659,pycolor,1.2.1
660,pycompwa,0.1.3
661,pycopy-ctypes,3.8.0b1.post1
662,pycorruptor,0.0.4
663,pycurly,1.0.1
664,pydatahub,2.17.2
665,pydytuesday,0.0.4
666,pyerconf,0.1.0
667,pyf-services,2.0.2
668,pygac,1.5.0
669,pygcn,1.1.3
670,pygeon-notifications,1.0.2
671,pygifconvt-m,1.0.0
672,pygithub33,0.6.2
673,pygments-lexers-graphql,1.0.2
674,pygn,0.10.2
675,pygod,0.3.0
676,pygolang,0.1
677,pygravatar,0.0.6
678,pyhunter,1.7
679,pyiati,0.4.1
680,pyinsta,0.2
681,pyiter,0.2.7
682,pykauriid,0.3.0
683,pykernel,0.1.6
684,pykgr,0.1
685,pylibftdi,0.20.0
686,pymorphy3-dicts-ru,2.4.417150.4580142
687,pymrmre,1.0.7
688,pynic,0.6
689,pynprimos,1.0
690,pyopenfilectl,0.0.1
691,pypblib,0.0.4
692,pyphant-osc,1.0b3
693,pyprogressbar,0.0.2
694,pypurepursuit,0.0.7
695,pysensibo,1.0.18
696,pyshell-pybc2,0.4.0
697,pysignora,0.1.1
698,pyslz,2.1.0
699,pysmatch,0.0.0.5
700,pysofa,0.1.1
701,pyssql,1.0.1
702,pystackreg,0.2.6
703,pystreamvbyte,0.4.1
704,pytecplot,1.5.0
705,pytelegram-bot,0.1
706,pytest-erp,0.0.0
707,pytest-httpretty,0.2.0
708,pytest-maybe-raises,0.1.1
709,pytest-tornado,0.8.1
710,python-750g-recipes,0.2.4
711,python-acoustid-api,0.0.2
712,python-can,4.0.0.dev2
713,python-ccp,1.3
714,python-dbusx,0.9
715,python-exconsole,0.1.5
716,python-logging-loki,0.3.1
717,python-matrix,0.0
718,python-mdc-utils,2012.1
719,python-require,0.2
720,python-sms-hub,1.0.0
721,python-sweety,0.2.26
722,python3-utilities,0.0.1
723,pythonbible-api,0.0.2
724,pythpower,1.0
725,pythresh,0.2.4
726,pytocode,0.1.1
727,pytool,3.16.2
728,pytoxns,1.0.0
729,pytrade,0.0.1
730,pyvhdlmodel,0.15.0
731,pyxform,1.10.1
732,qda,0.0.1
733,qmvpa,0.54
734,query-filter,0.1.3
735,quickbooks-pinecone,0.8.7
